respondent_id,Q1_1,Q1_2,Q1_3,Q1_4,Q2_1,Q2_2,Q2_3,Q2_4,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,WB_1,WB_2,WB_3,WB_4,WB_5,WB_6,WB_7,WB_8,WB_9,WB_10,WB_11,WB_12,WB_13,WB_14,WB_15,WB_16,WB_17,WB_18,WB_19,WB_20,department,gender,management_level,ethnicity,job_level,is_manager,campus,performance_rating,manager_id,manager_name,terminated,erg_participations
R0015,3,3,3,3,4,5,3,3,3,4,4,4,3,4,3,4,5,3,3,5,4,5,4,4,4,3,4,4,3,4,4,4,3,5,4,5,4,3,Risk Management,Female,Individual Contributor,Non-Minority,Senior Manager,0,Remote,Meets,M0046,Manager 33,1,0
R0016,4,5,4,5,4,4,4,4,4,4,2,4,3,3,3,3,3,3,4,4,4,3,4,4,4,5,5,4,4,5,5,4,3,5,5,4,4,4,Finance,Female,Individual Contributor,Non-Minority,Professional,0,West,Meets,M0006,Manager 20,0,0
R0017,4,3,3,3,4,3,4,4,3,5,4,3,2,4,2,2,2,3,5,5,5,4,5,5,5,5,5,4,5,5,4,4,5,5,5,4,5,5,Risk Management,Male,Individual Contributor,Minority,Director,0,Remote,Exceeds,M0030,Manager 11,0,0
R0018,4,4,3,4,4,4,5,5,3,3,4,4,2,4,3,4,3,3,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,4,4,5,5,5,Product,Female,Individual Contributor,Minority,Entry,0,West,Exceeds,M0043,Manager 35,0,0
R0019,4,4,4,4,3,3,4,3,3,5,3,3,4,3,3,5,3,2,2,3,3,2,3,3,4,2,1,2,2,2,2,3,3,2,3,3,3,3,Sales,Female,Individual Contributor,Non-Minority,Professional,0,Southeast,Meets,M0011,Manager 49,0,3
R0020,4,3,4,4,2,3,2,3,3,4,4,3,4,3,4,3,4,4,5,5,5,5,4,5,5,5,4,5,5,4,4,5,5,4,4,4,5,5,Research,Female,Manager,Non-Minority,Director,1,Northeast,Exceeds,M0007,Manager 28,0,0
R0021,4,5,5,4,3,3,3,2,3,2,4,4,3,3,1,1,1,1,3,1,2,1,1,1,3,2,2,2,1,2,2,1,2,1,2,2,2,2,Supply Chain,Female,Individual Contributor,Non-Minority,Entry,0,Southeast,Meets,M0021,Manager 25,0,1
R0022,3,3,4,5,3,3,4,4,4,3,4,4,3,4,5,5,4,4,2,1,2,1,2,1,2,2,1,2,2,2,1,1,2,1,2,2,1,2,Communications,Female,Individual Contributor,Minority,Senior Professional,0,Southeast,Below,M0047,Manager 17,0,0
R0023,4,5,5,5,4,4,4,3,4,3,3,4,2,3,3,4,3,3,3,4,4,3,4,4,3,3,3,3,4,4,4,3,4,3,4,3,4,4,Research,Male,Individual Contributor,Minority,Manager,0,Northeast,Meets,M0043,Manager 9,1,2
R0024,3,3,4,3,5,5,5,4,4,3,4,3,3,3,4,3,4,3,3,5,4,4,3,5,4,5,5,5,4,3,4,5,4,5,5,5,4,5,Customer Service,Male,Senior Leader,Non-Minority,Director,1,West,Below,M0006,Manager 45,0,1
R0025,3,2,2,3,4,3,4,3,2,1,1,1,1,2,3,3,4,3,5,3,3,3,5,4,3,4,4,4,4,3,4,3,5,3,5,4,4,4,Operations,Male,Individual Contributor,Non-Minority,VP,0,Southeast,Meets,M0037,Manager 50,0,0
R0026,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,3,3,2,3,3,3,3,3,4,3,4,4,3,3,4,3,2,2,3,2,IT,Male,Individual Contributor,Non-Minority,Entry,0,Midwest,Meets,M0025,Manager 46,0,1
R0027,5,5,5,5,4,4,3,4,3,2,2,2,3,3,3,4,4,4,5,5,5,5,4,3,4,3,4,4,4,4,5,4,4,5,4,4,5,3,Supply Chain,Male,Manager,Non-Minority,Director,1,West,Meets,M0042,Manager 42,0,0
R0028,1,2,3,2,5,4,4,4,2,3,3,4,4,4,4,4,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,Communications,Male,Individual Contributor,Non-Minority,Senior Manager,0,West,Exceeds,M0015,Manager 15,1,0
R0029,2,3,4,3,2,2,2,3,5,4,4,4,4,3,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,4,2,4,3,3,3,4,2,2,Engineering,Female,Individual Contributor,Non-Minority,Entry,0,Midwest,Meets,M0006,Manager 8,0,1
R0030,4,3,3,4,4,3,3,2,5,5,4,4,4,4,3,2,3,2,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,4,Human Resources,Female,Individual Contributor,Non-Minority,Senior Professional,0,Remote,Meets,M0013,Manager 48,0,2
R0031,3,2,4,3,4,4,3,3,4,4,3,3,2,3,3,2,3,3,2,3,2,2,3,3,3,3,3,3,2,2,2,2,3,3,3,2,3,1,Human Resources,Female,Senior Leader,Minority,Senior Manager,1,Midwest,Exceeds,M0009,Manager 21,1,0
R0032,4,4,5,5,4,2,3,3,5,5,5,5,4,5,2,3,2,2,4,3,4,3,3,3,4,2,2,4,3,2,2,2,2,4,3,3,3,3,Legal,Male,Individual Contributor,Minority,Senior Manager,0,Northeast,Exceeds,M0020,Manager 4,0,2
R0033,4,4,4,5,5,5,5,4,4,5,5,4,5,4,1,3,2,3,3,4,4,5,4,4,3,3,4,3,4,4,3,5,5,3,4,3,4,5,IT,Male,Manager,Minority,Senior Manager,1,Southeast,Meets,M0025,Manager 28,0,2
R0034,4,4,4,4,4,3,3,4,5,4,4,4,3,4,2,2,2,2,3,1,3,2,1,3,3,3,3,4,3,2,3,3,2,2,2,1,2,1,Operations,Female,Senior Leader,Minority,VP,1,Midwest,Below,M0044,Manager 9,0,1
R0035,3,5,3,3,4,5,5,5,2,3,2,1,2,1,5,4,5,5,3,5,4,5,4,4,4,4,4,4,4,5,3,4,4,4,5,4,4,4,Customer Service,Male,Individual Contributor,Minority,Director,0,Remote,Exceeds,M0038,Manager 15,1,2
R0036,4,3,4,4,3,2,4,3,5,5,4,5,5,4,2,1,1,1,4,4,4,3,3,4,5,4,4,4,3,4,4,4,5,4,4,3,4,3,Human Resources,Female,Manager,Minority,Manager,1,Northeast,Meets,M0035,Manager 30,0,1
R0037,2,2,3,3,5,5,5,5,3,4,3,4,3,3,2,2,2,1,4,5,3,3,3,4,4,3,4,3,3,4,2,3,5,4,3,4,4,4,Operations,Male,Individual Contributor,Non-Minority,Professional,0,Midwest,Meets,M0015,Manager 32,1,0
R0038,5,4,4,4,4,3,3,3,3,3,4,4,4,4,3,4,3,3,2,4,4,2,3,3,2,2,3,2,3,2,1,3,3,2,3,2,2,2,Research,Male,Individual Contributor,Non-Minority,Manager,0,Southeast,Meets,M0039,Manager 19,0,0
R0039,5,5,5,4,3,3,3,4,5,4,4,4,5,4,2,2,3,3,3,5,5,4,4,4,4,5,3,4,5,4,5,5,3,5,4,4,5,5,Marketing,Male,Manager,Non-Minority,Director,1,Northeast,Exceeds,M0039,Manager 21,0,1
R0040,4,3,4,5,5,5,5,5,5,4,4,4,4,5,3,4,3,4,4,4,4,4,3,5,3,4,4,3,4,4,5,3,3,3,4,4,3,3,Engineering,Male,Individual Contributor,Non-Minority,Senior Manager,0,Northeast,Meets,M0018,Manager 46,0,3
R0041,4,4,4,4,4,4,4,5,5,4,4,5,4,5,4,4,5,4,3,3,3,3,4,3,4,2,4,4,3,3,3,4,2,4,3,3,3,3,IT,Male,Individual Contributor,Non-Minority,Manager,0,Southeast,Meets,M0032,Manager 19,0,0
R0042,4,3,4,4,3,4,3,4,3,4,2,3,1,3,4,3,4,3,2,2,1,3,1,1,2,3,2,1,2,2,1,1,3,2,2,2,2,2,Supply Chain,Female,Manager,Non-Minority,Manager,1,Northeast,Meets,M0022,Manager 10,0,0
R0043,4,4,4,3,5,5,5,5,2,2,2,2,1,1,4,3,3,3,5,3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,Risk Management,Male,Individual Contributor,Minority,Director,0,Southeast,Meets,M0047,Manager 15,0,1
R0044,3,3,4,4,4,3,3,3,3,2,3,3,3,3,5,5,5,5,3,2,3,4,3,4,2,2,4,3,4,3,2,3,2,2,4,4,3,2,Supply Chain,Female,Individual Contributor,Non-Minority,Director,0,Northeast,Meets,M0050,Manager 12,0,0
R0045,5,4,4,4,3,3,2,4,3,3,3,3,2,2,4,4,4,3,3,2,3,4,2,2,2,3,3,3,2,3,2,3,2,2,2,3,3,3,Risk Management,Female,Individual Contributor,Non-Minority,Manager,0,West,Meets,M0020,Manager 43,0,1
R0046,1,1,2,1,3,3,2,3,5,4,5,4,5,4,2,3,3,2,2,3,3,3,3,3,2,4,2,2,4,3,3,3,4,3,4,2,3,2,Risk Management,Male,Manager,Non-Minority,Professional,1,Northeast,Exceeds,M0036,Manager 26,1,2
R0047,2,3,3,3,3,3,1,3,3,4,3,4,4,4,4,3,4,3,4,4,4,5,4,4,5,5,3,4,5,5,3,4,5,4,4,5,4,4,Operations,Female,Senior Leader,Minority,Manager,1,West,Meets,M0023,Manager 49,1,0
R0048,3,4,3,2,3,4,3,3,5,3,3,3,4,4,5,5,4,5,4,3,5,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,5,4,Legal,Male,Individual Contributor,Non-Minority,Manager,0,Northeast,Meets,M0034,Manager 47,0,0
R0049,5,5,4,5,5,5,4,4,3,3,3,3,2,3,4,4,5,4,5,5,5,5,4,5,5,5,4,4,5,5,5,4,5,5,4,4,4,4,Engineering,Female,Individual Contributor,Non-Minority,Senior Professional,0,Southeast,Meets,M0045,Manager 36,0,1
R0050,4,4,4,4,4,4,4,5,3,4,4,4,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,3,3,3,4,3,Legal,Male,Individual Contributor,Non-Minority,Entry,0,Southeast,Exceeds,M0021,Manager 49,0,1
R0051,3,4,3,2,3,3,2,3,3,2,3,3,4,4,2,4,3,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,Communications,Female,Manager,Non-Minority,Senior Manager,1,Northeast,Below,M0046,Manager 20,0,0
R0052,4,4,4,4,3,3,2,3,3,3,3,3,3,3,4,4,5,4,2,3,2,3,2,2,2,1,3,3,2,3,2,3,1,4,3,2,1,2,Product,Female,Individual Contributor,Non-Minority,Director,0,Southeast,Exceeds,M0037,Manager 9,0,1
R0053,5,5,4,5,5,4,5,4,4,4,5,4,5,4,3,4,3,3,3,3,2,2,2,2,2,1,2,2,1,1,2,2,3,2,2,2,2,2,Product,Female,Manager,Non-Minority,Director,1,West,Meets,M0019,Manager 10,0,1
R0054,5,5,4,4,3,3,4,3,5,5,5,5,5,5,4,4,4,4,2,2,4,3,1,2,2,2,1,3,2,3,2,3,2,4,3,3,2,4,Sales,Female,Individual Contributor,Non-Minority,Professional,0,Southeast,Meets,M0048,Manager 42,0,2
R0055,4,3,3,3,3,3,3,3,2,2,3,3,2,3,4,4,4,4,5,4,4,5,5,4,4,5,5,4,4,3,4,4,5,5,5,4,5,4,Finance,Male,Individual Contributor,Non-Minority,Senior Professional,0,Remote,Meets,M0007,Manager 44,0,3
R0056,4,4,4,5,5,5,4,4,2,3,3,2,3,2,3,3,3,3,4,3,3,3,4,4,4,4,4,4,5,3,4,4,4,5,5,4,4,4,Communications,Male,Individual Contributor,Non-Minority,VP,0,Southeast,Meets,M0025,Manager 28,1,0
R0057,4,3,4,4,5,4,5,5,2,3,3,3,2,3,3,3,3,4,2,3,2,3,2,2,3,3,3,1,4,4,3,2,2,2,3,3,2,2,Research,Male,Individual Contributor,Non-Minority,VP,0,Southeast,Below,M0004,Manager 7,0,0
R0058,5,5,5,5,4,3,4,4,4,4,4,5,5,4,2,4,3,3,2,2,3,1,1,2,3,3,2,2,2,2,3,1,2,1,1,3,2,2,Operations,Female,Manager,Minority,Manager,1,Southeast,Meets,M0004,Manager 8,0,0
R0059,3,2,3,4,5,5,5,5,3,4,3,3,4,3,3,4,4,5,4,3,3,2,3,3,4,4,4,3,4,3,4,3,3,2,3,4,3,3,Customer Service,Female,Manager,Minority,Director,1,Midwest,Below,M0038,Manager 28,0,0
R0060,5,5,4,5,3,4,4,2,3,4,3,3,3,2,2,4,3,4,4,4,5,4,4,4,5,3,3,4,4,4,3,5,3,4,3,5,4,3,Marketing,Male,Manager,Non-Minority,Director,1,West,Meets,M0016,Manager 3,1,2
R0061,4,3,4,3,3,3,3,3,3,2,2,3,2,2,2,2,2,2,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,Human Resources,Female,Individual Contributor,Non-Minority,Professional,0,West,Meets,M0032,Manager 20,0,2
R0062,4,3,4,4,4,5,5,5,4,4,4,5,4,3,4,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,2,3,1,4,2,2,3,Supply Chain,Male,Individual Contributor,Non-Minority,Senior Manager,0,Southeast,Exceeds,M0042,Manager 48,0,0
R0063,3,3,4,3,3,4,4,4,3,3,3,3,4,3,4,3,4,4,3,3,3,2,4,3,2,3,2,3,4,2,3,2,3,2,3,2,3,3,Legal,Male,Individual Contributor,Non-Minority,VP,0,Northeast,Meets,M0050,Manager 30,0,1
R0064,3,4,4,5,4,4,5,4,3,3,4,3,3,3,5,3,5,4,5,4,5,4,5,4,5,4,4,5,5,5,4,5,5,4,5,5,4,5,Risk Management,Female,Individual Contributor,Minority,VP,0,West,Meets,M0018,Manager 41,0,0
R0065,4,3,4,3,5,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,3,4,3,3,3,2,3,3,3,4,3,4,3,3,2,3,3,Research,Male,Manager,Non-Minority,Manager,1,Midwest,Meets,M0001,Manager 8,1,0
R0066,3,4,4,4,3,2,3,3,5,5,4,5,4,4,3,5,4,4,3,4,3,4,5,2,3,3,4,3,5,4,4,3,3,4,3,4,3,3,Human Resources,Female,Individual Contributor,Non-Minority,Entry,0,Northeast,Meets,M0032,Manager 42,0,0
R0067,2,2,1,1,3,3,4,3,4,3,4,4,3,3,5,4,4,3,3,5,4,3,3,4,3,4,3,5,3,4,4,4,2,2,3,4,3,3,Research,Female,Manager,Minority,Senior Manager,1,Southeast,Meets,M0002,Manager 38,1,0
R0068,5,5,4,5,3,3,4,4,4,5,4,4,4,4,5,5,5,4,1,2,1,3,3,2,1,3,3,2,2,2,2,2,2,3,3,1,2,1,IT,Male,Individual Contributor,Minority,Senior Manager,0,West,Exceeds,M0018,Manager 45,0,1
R0069,3,3,2,3,4,4,4,5,5,5,5,5,5,5,4,4,4,4,3,5,4,4,3,3,4,4,2,3,3,4,3,4,3,3,5,4,4,5,Supply Chain,Male,Manager,Minority,Entry,1,Remote,Meets,M0012,Manager 25,0,0
R0070,3,4,3,3,4,5,5,4,4,4,4,4,5,4,4,4,4,5,3,3,4,2,3,4,4,3,3,4,4,2,2,3,3,3,3,3,2,3,Product,Male,Manager,Minority,Director,1,West,Meets,M0020,Manager 37,0,0
R0071,3,4,4,4,3,4,4,5,5,5,5,5,5,5,5,4,5,5,3,3,3,3,2,3,2,2,3,3,2,2,2,2,3,3,3,2,2,3,Marketing,Male,Manager,Non-Minority,Entry,1,Midwest,Exceeds,M0005,Manager 46,0,0
R0072,4,5,5,4,3,3,4,4,3,3,2,2,3,3,3,2,3,4,4,3,4,3,4,4,2,3,4,3,3,3,4,3,2,3,4,3,5,4,Risk Management,Male,Manager,Minority,VP,1,Remote,Below,M0012,Manager 26,0,0
R0073,5,4,4,3,4,4,4,4,3,3,3,3,2,3,3,2,2,2,3,2,3,3,2,1,3,3,3,2,2,2,3,2,2,2,2,2,2,2,Risk Management,Female,Senior Leader,Non-Minority,Director,1,Northeast,Meets,M0026,Manager 36,0,0
R0074,3,3,3,3,4,4,4,4,4,3,3,3,3,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,Risk Management,Male,Individual Contributor,Non-Minority,Senior Manager,0,Remote,Meets,M0032,Manager 5,1,0
R0075,3,4,4,4,4,5,5,5,4,3,4,4,4,3,2,3,2,3,5,5,5,5,4,3,5,5,4,4,4,5,5,5,5,4,5,5,5,5,Customer Service,Female,Individual Contributor,Minority,VP,0,Remote,Meets,M0035,Manager 46,0,1
R0076,5,5,5,5,4,3,3,3,5,4,4,4,4,3,3,3,3,3,5,5,4,5,5,5,5,4,5,4,4,5,5,5,5,4,4,5,5,5,Risk Management,Female,Individual Contributor,Minority,VP,0,Northeast,Meets,M0049,Manager 49,0,0
R0077,5,4,3,4,4,3,5,4,5,4,4,5,5,5,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,Sales,Female,Individual Contributor,Non-Minority,Director,0,Northeast,Meets,M0012,Manager 39,0,1
R0078,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,2,3,2,3,3,3,3,4,4,3,3,3,4,3,3,2,2,3,3,2,3,3,2,Supply Chain,Female,Manager,Non-Minority,Professional,1,Northeast,Meets,M0036,Manager 29,0,2
R0079,3,3,3,2,3,3,4,3,3,4,4,3,3,4,4,2,3,4,3,3,3,3,2,4,2,3,4,2,3,4,4,3,4,4,3,3,3,3,Communications,Female,Individual Contributor,Minority,Senior Professional,0,Northeast,Meets,M0003,Manager 9,0,0
R0080,4,4,4,4,4,3,3,2,3,3,4,3,3,3,2,2,2,1,4,2,3,4,3,3,4,3,3,3,5,3,2,4,4,3,3,4,3,2,IT,Female,Individual Contributor,Non-Minority,Professional,0,Southeast,Meets,M0006,Manager 36,0,0
R0081,3,4,3,3,2,2,1,2,4,3,4,3,4,3,4,5,3,3,3,3,2,3,3,3,2,4,4,3,3,3,4,4,2,4,3,3,2,3,Engineering,Female,Individual Contributor,Non-Minority,VP,0,Northeast,Below,M0006,Manager 8,1,0
R0082,2,3,3,4,3,3,4,3,3,4,4,3,4,3,4,4,3,4,3,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,3,3,Customer Service,Male,Individual Contributor,Minority,Senior Professional,0,Midwest,Meets,M0035,Manager 11,1,3
R0083,4,3,4,3,4,4,5,5,5,5,4,4,4,4,4,3,5,4,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,1,2,2,Legal,Female,Individual Contributor,Minority,Director,0,Northeast,Exceeds,M0016,Manager 20,0,2
R0084,5,5,5,5,3,3,3,3,2,3,2,4,3,3,5,5,5,4,4,4,4,4,3,4,3,4,5,3,3,3,4,4,4,4,3,4,4,3,Finance,Male,Manager,Non-Minority,Senior Manager,1,Midwest,Meets,M0043,Manager 35,0,3
R0085,3,3,4,4,5,3,4,3,4,4,5,4,5,4,2,2,3,2,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,Product,Male,Individual Contributor,Minority,Professional,0,Remote,Below,M0032,Manager 45,1,0
R0086,5,4,5,5,1,1,2,2,3,4,2,2,2,3,4,4,5,5,2,3,4,3,3,4,2,3,3,3,4,3,4,3,4,4,3,2,3,3,Operations,Female,Manager,Minority,Senior Manager,1,Midwest,Below,M0039,Manager 35,0,0
R0087,2,3,3,3,4,4,5,5,3,3,3,3,2,3,3,2,4,3,3,4,2,2,3,4,2,3,3,2,4,4,3,4,4,3,3,3,3,3,Customer Service,Male,Individual Contributor,Minority,Professional,0,Northeast,Meets,M0043,Manager 3,0,1
R0088,4,4,3,3,1,1,2,1,5,4,4,4,4,5,2,2,2,3,3,5,5,4,4,3,4,3,4,5,4,4,3,4,4,4,4,4,4,4,Sales,Male,Manager,Minority,Entry,1,Southeast,Below,M0010,Manager 20,0,0
R0089,5,5,4,5,4,4,4,4,4,4,5,4,4,3,5,5,5,4,3,4,5,3,5,4,4,4,3,4,3,3,4,3,3,4,4,4,4,5,Risk Management,Female,Individual Contributor,Non-Minority,VP,0,Southeast,Meets,M0009,Manager 39,0,1
R0090,4,3,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,4,4,3,4,3,4,3,4,4,3,3,Customer Service,Male,Individual Contributor,Non-Minority,Professional,0,Remote,Meets,M0023,Manager 18,0,0
R0091,3,3,4,4,4,5,4,4,3,3,3,3,3,4,4,4,3,2,3,2,2,2,3,3,2,3,3,2,3,2,3,1,3,2,3,1,2,3,Marketing,Female,Senior Leader,Minority,Director,1,Remote,Exceeds,M0028,Manager 5,0,1
R0092,4,3,5,4,4,3,3,2,5,5,4,5,4,4,4,4,3,4,4,4,3,4,4,4,3,3,4,3,3,3,4,3,3,3,3,4,5,4,Customer Service,Male,Individual Contributor,Minority,Senior Professional,0,Midwest,Meets,M0025,Manager 42,0,0
R0093,3,3,4,3,2,3,2,2,4,3,3,4,4,4,4,4,3,3,4,4,4,4,3,4,3,3,4,4,4,5,3,3,5,4,4,3,4,4,Marketing,Female,Individual Contributor,Minority,Manager,0,West,Meets,M0006,Manager 17,0,1
R0094,3,3,4,3,4,3,3,3,4,3,4,5,4,4,3,4,3,4,3,3,3,2,3,3,2,3,2,3,3,2,2,3,3,3,2,2,3,2,Research,Male,Individual Contributor,Non-Minority,Manager,0,Southeast,Meets,M0035,Manager 14,0,0
R0095,2,2,3,3,5,5,5,5,5,5,5,5,4,5,5,4,5,5,3,4,4,3,3,3,3,3,4,4,4,4,3,4,3,3,2,3,3,4,Human Resources,Female,Individual Contributor,Minority,Director,0,Midwest,Meets,M0041,Manager 45,0,0
R0096,5,5,3,4,5,5,5,5,4,4,4,3,4,3,4,5,5,5,1,2,2,2,1,2,2,3,3,2,3,2,2,3,2,2,1,2,2,3,Research,Female,Manager,Minority,Professional,1,Midwest,Meets,M0037,Manager 43,0,0
R0097,3,3,4,3,3,4,3,4,4,3,5,4,4,4,5,5,4,5,3,4,4,4,5,3,3,3,4,4,3,3,3,4,4,4,3,3,3,4,Research,Female,Individual Contributor,Non-Minority,VP,0,Remote,Meets,M0039,Manager 11,0,3
R0098,3,2,2,2,3,4,3,3,2,2,3,3,1,2,4,4,4,4,5,5,4,5,4,5,5,5,5,5,4,4,5,5,5,4,5,5,5,3,Legal,Female,Individual Contributor,Minority,VP,0,Southeast,Meets,M0021,Manager 28,1,0
R0099,2,4,2,3,4,3,3,3,3,2,3,2,3,3,3,3,2,3,3,2,2,3,3,1,2,2,2,1,3,3,2,2,2,3,3,3,2,2,Legal,Male,Individual Contributor,Non-Minority,Entry,0,Remote,Meets,M0016,Manager 5,0,0
R0100,3,3,4,5,4,4,5,4,4,5,4,5,5,4,3,3,3,3,5,5,5,4,5,5,5,5,5,5,4,4,5,3,5,5,5,5,4,5,Engineering,Male,Individual Contributor,Non-Minority,Entry,0,Remote,Exceeds,M0008,Manager 44,0,0
R0101,5,5,4,4,3,3,2,2,3,4,3,2,3,3,3,2,3,3,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,Customer Service,Male,Individual Contributor,Non-Minority,Manager,0,Northeast,Meets,M0022,Manager 41,0,1
R0102,5,5,5,5,4,4,3,3,3,4,4,4,2,4,5,5,5,4,5,3,4,3,4,4,4,4,4,3,3,4,3,4,4,3,4,5,4,4,Human Resources,Female,Manager,Minority,Senior Professional,1,Midwest,Meets,M0050,Manager 18,1,1
R0103,4,4,4,4,5,4,4,4,2,3,3,3,3,3,4,3,3,3,4,5,4,5,5,5,4,5,5,5,5,5,4,4,5,4,5,4,5,5,Marketing,Female,Individual Contributor,Non-Minority,VP,0,Southeast,Meets,M0018,Manager 1,0,2
R0104,3,4,3,4,3,3,4,4,2,4,4,3,4,3,5,5,5,4,4,4,5,4,4,5,4,4,5,4,4,4,4,4,4,4,5,4,5,4,Human Resources,Male,Manager,Minority,Manager,1,Southeast,Meets,M0025,Manager 7,0,0
